,0
CL:0008036,143
CL:0009012,144
CL:0009068,145
CL:0009089,146
CL:0009092,147
CL:0009095,148
CL:0009099,149
CL:0010006,150
CL:0010022,151
CL:0011020,152
CL:0011025,153
CL:0013000,154
CL:0019018,155
CL:0019022,156
CL:0019026,157
CL:0019028,158
CL:0019029,159
CL:1000042,160
CL:1000271,161
CL:1000340,162
CL:1000342,163
CL:1000412,164
CL:1000414,165
CL:1000432,166
CL:1000443,167
CL:1000486,168
CL:1000495,169
CL:1000692,170
CL:1000695,171
CL:1000768,172
CL:1000849,173
CL:1001106,174
CL:1001107,175
CL:1001111,176
CL:1001318,177
CL:1001428,178
CL:1001431,179
CL:1001432,180
CL:1001568,181
CL:1001569,182
CL:1001571,183
CL:1001576,184
CL:1001602,185
CL:2000002,186
CL:2000042,187
CL:2000059,188
CL:2000060,189
CL:2000093,190
CL:2000097,191
CL:3000001,192
CL:4006000,193
CL:4023011,194
CL:4023015,195
CL:4023016,196
CL:4023017,197
CL:4023026,198
CL:4023029,199
CL:4023036,200
CL:4023041,201
CL:4023042,202
CL:4023046,203
CL:4023051,204
CL:4023072,205
CL:4028002,206
CL:4028004,207
CL:4028006,208
CL:4030006,209
CL:4030028,210
CL:4030055,211
CL:4030059,212
CL:4030065,213
CL:4030067,214
CL:4033008,215
CL:4033014,216
CL:4033015,217
CL:4033027,218
CL:4033028,219
CL:4033029,220
CL:4033030,221
CL:4033031,222
CL:4033032,223
CL:4033033,224
CL:4033034,225
CL:4033035,226
CL:4033036,227
CL:4033043,228
CL:4033046,229
CL:4033047,230
CL:4033051,231
CL:4033052,232
CL:4033057,233
CL:4033058,234
CL:4047018,235
CL:0000000,236
CL:0000031,237
CL:0000034,238
CL:0000047,239
CL:0000057,240
CL:0000064,241
CL:0000065,242
CL:0000066,243
CL:0000067,244
CL:0000068,245
CL:0000071,246
CL:0000083,247
CL:0000084,248
CL:0000099,249
CL:0000113,250
CL:0000115,251
CL:0000125,252
CL:0000126,253
CL:0000127,254
CL:0000129,255
CL:0000134,256
CL:0000136,257
CL:0000150,258
CL:0000151,259
CL:0000159,260
CL:0000160,261
CL:0000164,262
CL:0000182,263
CL:0000192,264
CL:0000235,265
CL:0000236,266
CL:0000240,267
CL:0000359,268
CL:0000451,269
CL:0000492,270
CL:0000498,271
CL:0000499,272
CL:0000529,273
CL:0000540,274
CL:0000542,275
CL:0000561,276
CL:0000573,277
CL:0000576,278
CL:0000584,279
CL:0000598,280
CL:0000617,281
CL:0000622,282
CL:0000623,283
CL:0000624,284
CL:0000625,285
CL:0000646,286
CL:0000666,287
CL:0000669,288
CL:0000679,289
CL:0000681,290
CL:0000700,291
CL:0000738,292
CL:0000740,293
CL:0000745,294
CL:0000746,295
CL:0000748,296
CL:0000763,297
CL:0000782,298
CL:0000784,299
CL:0000785,300
CL:0000786,301
CL:0000791,302
CL:0000792,303
CL:0000798,304
CL:0000815,305
CL:0000826,306
CL:0000838,307
CL:0000860,308
CL:0000861,309
CL:0000875,310
CL:0000878,311
CL:0000890,312
CL:0000897,313
CL:0000898,314
CL:0000909,315
CL:0000988,316
CL:0000990,317
CL:0001047,318
CL:0001054,319
CL:0001063,320
CL:0001065,321
CL:0001082,322
CL:0001203,323
CL:0002071,324
CL:0002139,325
CL:0002144,326
CL:0002178,327
CL:0002224,328
CL:0002319,329
CL:0002326,330
CL:0002327,331
CL:0002419,332
CL:0002518,333
CL:0002543,334
CL:0002553,335
CL:0002563,336
CL:0002573,337
CL:0002605,338
CL:0002678,339
CL:0008001,340
CL:0008019,341
CL:0008031,342
CL:0008034,343
CL:0010008,344
CL:0010012,345
CL:0011026,346
CL:0011108,347
CL:1000272,348
CL:1000334,349
CL:1000398,350
CL:1000413,351
CL:1000497,352
CL:1000500,353
CL:1001567,354
CL:1001603,355
CL:2000029,356
CL:4023009,357
CL:4023012,358
CL:4023013,359
CL:4023018,360
CL:4023038,361
CL:4023040,362
CL:4023064,363
CL:4023111,364
CL:4028001,365
CL:4030027,366
CL:4030034,367
CL:4033054,368
